WEEK,LOCATION,SPECIES,MON_EGG_TOT,MON_LARV_TOT,MYZ_ASC,APH_NER,APH_ASC,APH_TOT,FOR_SUB,FOR_PAL,FOR_TOT,LAS_NEO,LAS_TOT,TET_IMM,CRE_CER,ANT_TOT,LB_TOT,PARA,LWING
5,SH,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,SH,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,SH,INCARNATA,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
5,SH,INCARNATA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,SH,SYRIACA,1,1,0,0,0,12,0,0,0,6,6,0,0,6,0,0,0
5,SH,SYRIACA,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0
5,SH,SYRIACA,1,0,15,0,0,15,0,0,0,3,3,0,0,3,0,0,0
5,SH,SYRIACA,1,1,4,0,0,4,0,0,0,2,2,0,0,2,0,0,0
5,SH,SYRIACA,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,SH,INCARNATA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,SH,INCARNATA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,SH,INCARNATA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,SH,INCARNATA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,SH,INCARNATA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,SH,SYRIACA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,SH,SYRIACA,3,0,41,0,0,41,0,0,0,4,4,0,0,4,0,0,0
6,SH,SYRIACA,3,0,50,0,0,51,0,0,0,3,3,0,0,3,0,0,0
6,SH,SYRIACA,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0
6,SH,SYRIACA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,SH,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ST,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ST,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ST,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ST,INCARNATA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ST,INCARNATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ST,SYRIACA,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
6,ST,SYRIACA,0,0,49,0,0,49,1,0,1,0,0,0,0,1,0,0,0
6,ST,SYRIACA,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,ST,SYRIACA,2,1,58,0,0,58,0,0,0,0,0,0,0,0,0,3,0
6,ST,SYRIACA,2,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0
6,ST,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ST,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ST,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ST,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,ST,TUBEROSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,LP,INCARNATA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
